페이지,번호,제목,url
page1,title:1,2023-S학기 중부대학교 현장실습학기제 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=296175&tag=&nPage=1
page1,title:2,2023학년도 1학기 등록금 분할 납부(4차) 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=296163&tag=&nPage=1
page1,title:3,"하나VIVA G Platinum 국제학생증 체크카드 인증비 17,000원 지원 행사(~5/20일까지)",https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=296090&tag=&nPage=1
page1,title:4,2023학년도 교직 인·적성 검사 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=296058&tag=&nPage=1
page1,title:5,2차 교직 적성 및 인성 검사표.hwp,https://www.joongbu.ac.kr/boardDownload.es?bid=0007&list_no=296058&seq=1
page1,title:6,2023학년도 성인지 교육 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=296055&tag=&nPage=1
page1,title:7,2023학년도 하계 계절학기 운영계획 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=296000&tag=&nPage=1
page1,title:8,2023학년도 하계(S) 계절학기 개설교과목 리스트_20230515.xlsx,https://www.joongbu.ac.kr/boardDownload.es?bid=0007&list_no=296000&seq=2
page1,title:9,[학칙] 개정(안) 의견수렴,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295948&tag=&nPage=1
page1,title:10,부처님오신날 대체 공휴일 지정에 따른 학사일정 변경 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295900&tag=&nPage=1
page1,title:11,2023-1학기 중간강의평가에 대한 강의개선계획(CQI) 입력 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295818&tag=&nPage=1
page1,title:12,강의평가 강의개선계획 입력 안내(교수용).pdf,https://www.joongbu.ac.kr/boardDownload.es?bid=0007&list_no=295818&seq=1
page1,title:13,2023학년도 1학기 등록금 3차 분할납부기간 연장 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295649&tag=&nPage=1
﻿페이지,번호,제목,url
page2,title:1,2023-2학기 해외 파견 교환학생 프로그램 신청 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295560&tag=&nPage=2
page2,title:2,2023-1학기 중간강의평가 실시기간 연장 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295544&tag=&nPage=2
page2,title:3,강의평가 방법 안내(학생용).pdf,https://www.joongbu.ac.kr/boardDownload.es?bid=0007&list_no=295544&seq=1
page2,title:4,2023학년도 1학기 등록금 3차 분할납부 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295507&tag=&nPage=2
page2,title:5,"2023학년도 재학생(내, 외국인) 영어프레젠테이션 대회 신청 접수",https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295451&tag=&nPage=2
page2,title:6,붙임 2023학년도 영어프레젠테이션 대회 참가신청서.hwp,https://www.joongbu.ac.kr/boardDownload.es?bid=0007&list_no=295451&seq=1
page2,title:7,2023학년도 여름계절학기 교양과목 개설 수요조사 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295413&tag=&nPage=2
page2,title:8,2023년 제2차 평생교육사 자격증 발급 신청 공고 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295312&tag=&nPage=2
page2,title:9,신청매뉴얼 및 서식 1부.zip.zip,https://www.joongbu.ac.kr/boardDownload.es?bid=0007&list_no=295312&seq=1
page2,title:10,2023-1학기 중간강의평가 실시 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=295211&tag=&nPage=2
page2,title:11,강의평가 방법 안내(학생용).pdf,https://www.joongbu.ac.kr/boardDownload.es?bid=0007&list_no=295211&seq=1
page2,title:12,반려동물학부 신입생 전공선호도 조사,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=294933&tag=&nPage=2
page2,title:13,2023학년도 1학기 특별과정(컴활/MOS특강) 운영 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=294924&tag=&nPage=2
page2,title:14,2023학번 신입생/편입생 학생증(체크카드) 발급 안내,https://www.joongbu.ac.kr/board.es?mid=a10301000000&bid=0007&act=view&list_no=294901&tag=&nPage=2
